Code,Days to Trade,FlowUS$m,Name,Shares to Trade,Status,days,effective_date,profit,relative_profit
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,28,2020/8/31,47.39249771,-51.9199912
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,29,2020/8/31,43.45837145,-54.63355522
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-1,2020/8/31,101.1392405,0.890790035
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-2,2020/8/31,97.46835443,-4.723662291
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-3,2020/8/31,96.83544304,-5.014789967
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-4,2020/8/31,92.65822785,-9.545619848
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-5,2020/8/31,100.8860759,-2.212982174
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-6,2020/8/31,103.7974684,0.137096205
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-7,2020/8/31,102.9113924,-0.634613655
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-8,2020/8/31,86.58227848,-17.12607484
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-9,2020/8/31,91.13924051,-11.44451294
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-10,2020/8/31,95.56962025,-7.267184595
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-11,2020/8/31,95.56962025,-8.04474255
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-12,2020/8/31,111.3924051,9.078134936
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-13,2020/8/31,113.2911392,10.44447525
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-14,2020/8/31,120.1265823,16.82508303
